"Year","Vehicle","gwh","share"
2030,"Production Scrap",54.9598532304245,0.387245685652595
2030,"Consumer Electronics",37.2197854830706,0.262249633178703
2030,"Stationary Storage",5.29164396754619,0.0372847847291461
2030,"Heavy trucks",4.36745930330145,0.0307730038029017
2030,"Medium trucks",10.0277821772903,0.0706554904457059
2030,"Buses",2.05110401167788,0.0144520251176234
2030,"Light Commercial Vehicles",9.43722319137186,0.0664944273063725
2030,"Light Duty Vehicles",18.5701726360493,0.130844949766953
2040,"Production Scrap",111.849,0.126935525133812
2040,"Consumer Electronics",54.8820436754349,0.0622846966388447
2040,"Stationary Storage",46.8882900292596,0.0532127217721263
2040,"Heavy trucks",54.5423396281295,0.0618991723012575
2040,"Medium trucks",116.859998634517,0.132622422138857
2040,"Buses",28.7335059102292,0.0326091664802586
2040,"Light Commercial Vehicles",107.817844611375,0.122360635540243
2040,"Light Duty Vehicles",359.575102766705,0.408075659994601
2050,"Production Scrap",111.849,0.0518642062233758
2050,"Consumer Electronics",63.2911941963999,0.0293480276795126
2050,"Stationary Storage",208.690481253058,0.096769449494981
2050,"Heavy trucks",133.490709620803,0.0618994330988931
2050,"Medium trucks",266.163193062556,0.123419455999326
2050,"Buses",68.0581081931362,0.031558438238175
2050,"Light Commercial Vehicles",194.188127108318,0.0900447305785204
2050,"Light Duty Vehicles",1110.84321217163,0.515096258687216
