"Stage","Scenario","Sales","Size","Lifetime","eol","Reuse","Scrap","Year","ktons","type","cap","deficit","deficit_trans","lab_def"
"Pre-processing (ktons of battery)","Ambitious_Long_reuse0LargeRecycling","Ambitious","Large LIB","Long lifetime","Recycling","0%","14%",2040,5475.61043883014,"Capacity",918.387361849208,4557.22307698093,67.5072075928262,"4.6M"
"Pre-processing (ktons of battery)","Ambitious_Long_reuse0LargeRecycling","Ambitious","Large LIB","Long lifetime","Recycling","0%","18%",2040,5889.55880229888,"Capacity",918.387361849208,4971.17144044967,70.5065347357936,"5M"
"Pre-processing (ktons of battery)","Ambitious_Long_reuse0LargeRecycling","Ambitious","Large LIB","Long lifetime","Recycling","0%","2%",2040,4233.76534842391,"Capacity",918.387361849208,3315.3779865747,57.5793190874528,"3.3M"
"Pre-processing (ktons of battery)","Ambitious_Long_reuse0LargeRecycling","Ambitious","Large LIB","Long lifetime","Recycling","0%","22%",2040,6303.50716576762,"Capacity",918.387361849208,5385.11980391841,73.3833755282381,"5.4M"
"Pre-processing (ktons of battery)","Ambitious_Long_reuse0LargeRecycling","Ambitious","Large LIB","Long lifetime","Recycling","0%","6%",2040,4647.71371189265,"Capacity",918.387361849208,3729.32635004345,61.0682106340398,"3.7M"
"Pre-processing (ktons of battery)","Ambitious_Long_reuse0LargeRepurposing","Ambitious","Large LIB","Long lifetime","Repurposing","0%","10%",2040,5031.72429671407,"Capacity",918.387361849208,4113.33693486486,64.1353017835331,"4.1M"
"Pre-processing (ktons of battery)","Ambitious_Long_reuse0LargeRepurposing","Ambitious","Large LIB","Long lifetime","Repurposing","0%","14%",2040,5445.0186639692,"Capacity",918.387361849208,4526.63130211999,67.2802445159052,"4.5M"
"Pre-processing (ktons of battery)","Ambitious_Long_reuse0LargeRepurposing","Ambitious","Large LIB","Long lifetime","Repurposing","0%","18%",2040,5858.31303122433,"Capacity",918.387361849208,4939.92566937513,70.2846047820938,"4.9M"
"Pre-processing (ktons of battery)","Ambitious_Long_reuse0LargeRepurposing","Ambitious","Large LIB","Long lifetime","Repurposing","0%","2%",2040,4205.1355622038,"Capacity",918.387361849208,3286.7482003546,57.3301683265852,"3.3M"
"Pre-processing (ktons of battery)","Ambitious_Long_reuse0LargeRepurposing","Ambitious","Large LIB","Long lifetime","Repurposing","0%","22%",2040,6271.60739847947,"Capacity",918.387361849208,5353.22003663026,73.1657025978037,"5.4M"
"Pre-processing (ktons of battery)","Ambitious_Long_reuse0LargeRepurposing","Ambitious","Large LIB","Long lifetime","Repurposing","0%","6%",2040,4618.42992945894,"Capacity",918.387361849208,3700.04256760973,60.8279752055724,"3.7M"
"Pre-processing (ktons of battery)","Ambitious_Long_reuse0Recycling","Ambitious","Reference","Long lifetime","Recycling","0%","10%",2040,4648.89415258998,"Capacity",918.387361849208,3730.50679074077,61.0778748053726,"3.7M"
"Pre-processing (ktons of battery)","Ambitious_Long_reuse0Recycling","Ambitious","Reference","Long lifetime","Recycling","0%","14%",2040,5064.57011348001,"Capacity",918.387361849208,4146.18275163081,64.3908592242005,"4.1M"
"Pre-processing (ktons of battery)","Ambitious_Long_reuse0Recycling","Ambitious","Reference","Long lifetime","Recycling","0%","18%",2040,5480.24607437005,"Capacity",918.387361849208,4561.85871252084,67.5415332408203,"4.6M"
"Pre-processing (ktons of battery)","Ambitious_Long_reuse0Recycling","Ambitious","Reference","Long lifetime","Recycling","0%","2%",2040,3817.54223080991,"Capacity",918.387361849208,2899.15486896071,53.8438006548637,"2.9M"
"Pre-processing (ktons of battery)","Ambitious_Long_reuse0Recycling","Ambitious","Reference","Long lifetime","Recycling","0%","22%",2040,5895.92203526008,"Capacity",918.387361849208,4977.53467341087,70.5516454337592,"5M"
"Pre-processing (ktons of battery)","Ambitious_Long_reuse0Recycling","Ambitious","Reference","Long lifetime","Recycling","0%","6%",2040,4233.21819169995,"Capacity",918.387361849208,3314.83082985074,57.5745675611267,"3.3M"
"Pre-processing (ktons of battery)","Ambitious_Long_reuse0Repurposing","Ambitious","Reference","Long lifetime","Repurposing","0%","10%",2040,4592.10295414372,"Capacity",918.387361849208,3673.71559229451,60.6111837229278,"3.7M"
"Pre-processing (ktons of battery)","Ambitious_Long_reuse0Repurposing","Ambitious","Reference","Long lifetime","Repurposing","0%","14%",2040,5006.97025441716,"Capacity",918.387361849208,4088.58289256796,63.9420275919364,"4.1M"
"Pre-processing (ktons of battery)","Ambitious_Long_reuse0Repurposing","Ambitious","Reference","Long lifetime","Repurposing","0%","18%",2040,5421.83755469061,"Capacity",918.387361849208,4503.4501928414,67.1077506167611,"4.5M"
"Pre-processing (ktons of battery)","Ambitious_Long_reuse0Repurposing","Ambitious","Reference","Long lifetime","Repurposing","0%","2%",2040,3762.36835359682,"Capacity",918.387361849208,2843.98099174761,53.3289882873059,"2.8M"
"Pre-processing (ktons of battery)","Ambitious_Long_reuse0Repurposing","Ambitious","Reference","Long lifetime","Repurposing","0%","22%",2040,5836.70485496406,"Capacity",918.387361849208,4918.31749311485,70.1307171866569,"4.9M"
"Pre-processing (ktons of battery)","Ambitious_Long_reuse0Repurposing","Ambitious","Reference","Long lifetime","Repurposing","0%","6%",2040,4177.23565387027,"Capacity",918.387361849208,3258.84829202106,57.0863231608155,"3.3M"
"Pre-processing (ktons of battery)","Ambitious_Long_reuse0Small","Ambitious","Small LIB","Long lifetime","100% LIB prod.","0%","10%",2040,3884.74983989427,"Capacity",918.387361849208,2966.36247804506,54.4643229834454,"3M"
"Pre-processing (ktons of battery)","Ambitious_Long_reuse0Small","Ambitious","Small LIB","Long lifetime","100% LIB prod.","0%","14%",2040,4256.76939820254,"Capacity",918.387361849208,3338.38203635333,57.778733426351,"3.3M"
"Pre-processing (ktons of battery)","Ambitious_Long_reuse0Small","Ambitious","Small LIB","Long lifetime","100% LIB prod.","0%","18%",2040,4628.78895651081,"Capacity",918.387361849208,3710.40159466161,60.9130658780332,"3.7M"
"Pre-processing (ktons of battery)","Ambitious_Long_reuse0Small","Ambitious","Small LIB","Long lifetime","100% LIB prod.","0%","2%",2040,3140.71072327772,"Capacity",918.387361849208,2222.32336142851,47.1415248101768,"2.2M"
"Pre-processing (ktons of battery)","Ambitious_Long_reuse0Small","Ambitious","Small LIB","Long lifetime","100% LIB prod.","0%","22%",2040,5000.80851481909,"Capacity",918.387361849208,4082.42115296988,63.8938271898771,"4.1M"
"Pre-processing (ktons of battery)","Ambitious_Long_reuse0Small","Ambitious","Small LIB","Long lifetime","100% LIB prod.","0%","6%",2040,3512.73028158599,"Capacity",918.387361849208,2594.34291973679,50.9346926930632,"2.6M"
"Pre-processing (ktons of battery)","Ambitious_Long_reuse0Small","Ambitious","Small LIB","Long lifetime","Reference","0%","10%",2040,3818.02701265512,"Capacity",918.387361849208,2899.63965080591,53.8483022091311,"2.9M"
"Pre-processing (ktons of battery)","Ambitious_Long_reuse0Small","Ambitious","Small LIB","Long lifetime","Reference","0%","14%",2040,4163.35744006773,"Capacity",918.387361849208,3244.97007821853,56.9646388404116,"3.2M"
"Pre-processing (ktons of battery)","Ambitious_Long_reuse0Small","Ambitious","Small LIB","Long lifetime","Reference","0%","18%",2040,4508.68786748035,"Capacity",918.387361849208,3590.30050563114,59.9191163622357,"3.6M"
"Pre-processing (ktons of battery)","Ambitious_Long_reuse0Small","Ambitious","Small LIB","Long lifetime","Reference","0%","2%",2040,3127.36615782989,"Capacity",918.387361849208,2208.97879598068,46.9997744247851,"2.2M"
"Pre-processing (ktons of battery)","Ambitious_Long_reuse0Small","Ambitious","Small LIB","Long lifetime","Reference","0%","22%",2040,4854.01829489296,"Capacity",918.387361849208,3935.63093304376,62.7346071402679,"3.9M"
"Pre-processing (ktons of battery)","Ambitious_Long_reuse0Small","Ambitious","Small LIB","Long lifetime","Reference","0%","6%",2040,3472.6965852425,"Capacity",918.387361849208,2554.3092233933,50.540174350642,"2.6M"
"Pre-processing (ktons of battery)","Ambitious_Long_reuse0SmallRecycling","Ambitious","Small LIB","Long lifetime","Recycling","0%","10%",2040,3988.37925006311,"Capacity",918.387361849208,3069.9918882139,55.4075075076826,"3.1M"
"Pre-processing (ktons of battery)","Ambitious_Long_reuse0SmallRecycling","Ambitious","Small LIB","Long lifetime","Recycling","0%","14%",2040,4340.17214750736,"Capacity",918.387361849208,3421.78478565815,58.4960236739058,"3.4M"
"Pre-processing (ktons of battery)","Ambitious_Long_reuse0SmallRecycling","Ambitious","Small LIB","Long lifetime","Recycling","0%","18%",2040,4691.9650449516,"Capacity",918.387361849208,3773.5776831024,61.4294528960042,"3.8M"
"Pre-processing (ktons of battery)","Ambitious_Long_reuse0SmallRecycling","Ambitious","Small LIB","Long lifetime","Recycling","0%","2%",2040,3284.79345517461,"Capacity",918.387361849208,2366.40609332541,48.6457201953615,"2.4M"
"Pre-processing (ktons of battery)","Ambitious_Long_reuse0SmallRecycling","Ambitious","Small LIB","Long lifetime","Recycling","0%","22%",2040,5043.75794239585,"Capacity",918.387361849208,4125.37058054664,64.2290477941768,"4.1M"
"Pre-processing (ktons of battery)","Ambitious_Long_reuse0SmallRecycling","Ambitious","Small LIB","Long lifetime","Recycling","0%","6%",2040,3636.58635261886,"Capacity",918.387361849208,2718.19899076965,52.1363499946981,"2.7M"
"Pre-processing (ktons of battery)","Ambitious_Long_reuse0SmallRepurposing","Ambitious","Small LIB","Long lifetime","Repurposing","0%","10%",2040,3888.91434319895,"Capacity",918.387361849208,2970.52698134974,54.5025410540622,"3M"
"Pre-processing (ktons of battery)","Ambitious_Long_reuse0SmallRepurposing","Ambitious","Small LIB","Long lifetime","Repurposing","0%","14%",2040,4235.15697432146,"Capacity",918.387361849208,3316.76961247225,57.591402244365,"3.3M"
"Pre-processing (ktons of battery)","Ambitious_Long_reuse0SmallRepurposing","Ambitious","Small LIB","Long lifetime","Repurposing","0%","18%",2040,4581.39960544397,"Capacity",918.387361849208,3663.01224359476,60.5228241541549,"3.7M"
"Pre-processing (ktons of battery)","Ambitious_Long_reuse0SmallRepurposing","Ambitious","Small LIB","Long lifetime","Repurposing","0%","2%",2040,3196.42908095392,"Capacity",918.387361849208,2278.04171910472,47.7288353001068,"2.3M"
"Pre-processing (ktons of battery)","Ambitious_Long_reuse0SmallRepurposing","Ambitious","Small LIB","Long lifetime","Repurposing","0%","22%",2040,4927.64223656648,"Capacity",918.387361849208,4009.25487471727,63.3186771396661,"4M"
"Pre-processing (ktons of battery)","Ambitious_Long_reuse0SmallRepurposing","Ambitious","Small LIB","Long lifetime","Repurposing","0%","6%",2040,3542.67171207644,"Capacity",918.387361849208,2624.28435022723,51.2277693270674,"2.6M"
"Pre-processing (ktons of battery)","Ambitious_Long_reuse50","Ambitious","Reference","Long lifetime","50% Reuse","50%","10%",2040,4346.12412431501,"Capacity",918.387361849208,3427.7367624658,58.546876624341,"3.4M"
"Pre-processing (ktons of battery)","Ambitious_Long_reuse50","Ambitious","Reference","Long lifetime","50% Reuse","50%","14%",2040,4760.87871070685,"Capacity",918.387361849208,3842.49134885765,61.9878322645473,"3.8M"
