"Country","Year","Stage","ktons","capacity","net"
"Canada",2025,"Pre-processing (ktons of battery)",2.55790198212946,20,17.4420980178705
"Canada",2025,"Refining (ktons of black mass)",0.738399809631095,0,-0.738399809631095
"Canada",2026,"Pre-processing (ktons of battery)",8.86707171465279,20,11.1329282853472
"Canada",2026,"Refining (ktons of black mass)",2.58666236091003,0,-2.58666236091003
"Canada",2027,"Pre-processing (ktons of battery)",24.3850732078225,20,-4.38507320782254
"Canada",2027,"Refining (ktons of black mass)",7.19919510272571,0,-7.19919510272571
"Canada",2028,"Pre-processing (ktons of battery)",39.0007441181354,270,230.999255881865
"Canada",2028,"Refining (ktons of black mass)",11.6936175566516,0,-11.6936175566516
"Canada",2029,"Pre-processing (ktons of battery)",55.7059617670109,288,232.294038232989
"Canada",2029,"Refining (ktons of black mass)",16.6906459113161,0,-16.6906459113161
"Canada",2030,"Pre-processing (ktons of battery)",68.1556492417636,318,249.844350758236
"Canada",2030,"Refining (ktons of black mass)",20.3039515479707,68.670583695574,48.3666321476033
"Canada",2031,"Pre-processing (ktons of battery)",83.2053737160009,318,234.794626283999
"Canada",2031,"Refining (ktons of black mass)",24.6199135869197,68.670583695574,44.0506701086543
"Canada",2032,"Pre-processing (ktons of battery)",99.1320104030832,318,218.867989596917
"Canada",2032,"Refining (ktons of black mass)",29.2001680399517,76.9110537390429,47.7108856990911
"Canada",2033,"Pre-processing (ktons of battery)",117.486580159563,318,200.513419840437
"Canada",2033,"Refining (ktons of black mass)",34.4727296690585,76.9110537390429,42.4383240699844
"Canada",2034,"Pre-processing (ktons of battery)",140.372738180891,318,177.627261819109
"Canada",2034,"Refining (ktons of black mass)",41.0378581026217,76.9110537390429,35.8731956364212
"Canada",2035,"Pre-processing (ktons of battery)",168.319814120172,318,149.680185879828
"Canada",2035,"Refining (ktons of black mass)",49.0364916262285,76.9110537390429,27.8745621128144
"Canada",2036,"Pre-processing (ktons of battery)",202.174460540134,318,115.825539459866
