"Stage","Scenario","Sales","Size","Lifetime","eol","Reuse","Scrap","Year","ktons","type","cap","deficit","deficit_trans","lab_def"
"Pre-processing (ktons of battery)","Ambitious_Long_reuse0","Ambitious","Reference","Long lifetime","100% LIB prod.","0%","0%",2025,12.2027451863,"Capacity",322.423361849208,-310.220616662908,-17.6130808396177,"-0.3M"
"Pre-processing (ktons of battery)","Ambitious_Long_reuse0","Ambitious","Reference","Long lifetime","100% LIB prod.","0%","12%",2025,323.601894308856,"Capacity",322.423361849208,1.17853245964841,1.08560234876699,"0M"
"Pre-processing (ktons of battery)","Ambitious_Long_reuse0","Ambitious","Reference","Long lifetime","100% LIB prod.","0%","16%",2025,427.401610683041,"Capacity",322.423361849208,104.978248833834,10.2458893627559,"0.1M"
"Pre-processing (ktons of battery)","Ambitious_Long_reuse0","Ambitious","Reference","Long lifetime","100% LIB prod.","0%","20%",2025,531.201327057227,"Capacity",322.423361849208,208.777965208019,14.4491510203202,"0.2M"
"Pre-processing (ktons of battery)","Ambitious_Long_reuse0","Ambitious","Reference","Long lifetime","100% LIB prod.","0%","4%",2025,116.002461560485,"Capacity",322.423361849208,-206.420900288722,-14.3673553686377,"-0.2M"
"Pre-processing (ktons of battery)","Ambitious_Long_reuse0","Ambitious","Reference","Long lifetime","100% LIB prod.","0%","8%",2025,219.802177934671,"Capacity",322.423361849208,-102.621183914537,-10.1302114447102,"-0.1M"
"Pre-processing (ktons of battery)","Ambitious_Long_reuse0","Ambitious","Reference","Long lifetime","Reference","0%","0%",2025,12.2027451863,"Capacity",322.423361849208,-310.220616662908,-17.6130808396177,"-0.3M"
"Pre-processing (ktons of battery)","Ambitious_Long_reuse0","Ambitious","Reference","Long lifetime","Reference","0%","12%",2025,217.201317460301,"Capacity",322.423361849208,-105.222044388906,-10.2577797007396,"-0.1M"
"Pre-processing (ktons of battery)","Ambitious_Long_reuse0","Ambitious","Reference","Long lifetime","Reference","0%","16%",2025,285.534174884968,"Capacity",322.423361849208,-36.8891869642391,-6.07364692456181,"0M"
"Pre-processing (ktons of battery)","Ambitious_Long_reuse0","Ambitious","Reference","Long lifetime","Reference","0%","20%",2025,353.867032309636,"Capacity",322.423361849208,31.443670460428,5.60746560046765,"0M"
"Pre-processing (ktons of battery)","Ambitious_Long_reuse0","Ambitious","Reference","Long lifetime","Reference","0%","4%",2025,80.5356026109671,"Capacity",322.423361849208,-241.88775923824,-15.5527412129901,"-0.2M"
"Pre-processing (ktons of battery)","Ambitious_Long_reuse0","Ambitious","Reference","Long lifetime","Reference","0%","8%",2025,148.868460035634,"Capacity",322.423361849208,-173.554901813573,-13.1740237518221,"-0.2M"
"Pre-processing (ktons of battery)","Ambitious_Long_reuse0Large","Ambitious","Large LIB","Long lifetime","100% LIB prod.","0%","0%",2025,12.257067848095,"Capacity",322.423361849208,-310.166294001113,-17.6115386608074,"-0.3M"
"Pre-processing (ktons of battery)","Ambitious_Long_reuse0Large","Ambitious","Large LIB","Long lifetime","100% LIB prod.","0%","12%",2025,328.724897070984,"Capacity",322.423361849208,6.30153522177659,2.51028588447145,"0M"
"Pre-processing (ktons of battery)","Ambitious_Long_reuse0Large","Ambitious","Large LIB","Long lifetime","100% LIB prod.","0%","16%",2025,434.214173478614,"Capacity",322.423361849208,111.790811629406,10.5731174035573,"0.1M"
