"Stage","Scenario","Sales","Size","Lifetime","eol","Reuse","Scrap","Year","ktons","type","cap","deficit","deficit_trans","lab_def"
"Pre-processing (ktons of battery)","Ambitious_Long_reuse0","Ambitious","Reference","Long lifetime","100% LIB prod.","0%","0%",2050,11251.7514647347,"Capacity",918.387361849208,10333.3641028855,101.653155892404,"10.3M"
"Pre-processing (ktons of battery)","Ambitious_Long_reuse0","Ambitious","Reference","Long lifetime","100% LIB prod.","0%","12%",2050,12954.0599180101,"Capacity",918.387361849208,12035.6725561609,109.707212872085,"12M"
"Pre-processing (ktons of battery)","Ambitious_Long_reuse0","Ambitious","Reference","Long lifetime","100% LIB prod.","0%","16%",2050,13521.4960691019,"Capacity",918.387361849208,12603.1087072527,112.263568031898,"12.6M"
"Pre-processing (ktons of battery)","Ambitious_Long_reuse0","Ambitious","Reference","Long lifetime","100% LIB prod.","0%","20%",2050,14088.9322201937,"Capacity",918.387361849208,13170.5448583445,114.762994289729,"13.2M"
"Pre-processing (ktons of battery)","Ambitious_Long_reuse0","Ambitious","Reference","Long lifetime","100% LIB prod.","0%","4%",2050,11819.1876158265,"Capacity",918.387361849208,10900.8002539773,104.406897540236,"10.9M"
"Pre-processing (ktons of battery)","Ambitious_Long_reuse0","Ambitious","Reference","Long lifetime","100% LIB prod.","0%","8%",2050,12386.6237669183,"Capacity",918.387361849208,11468.2364050691,107.089852017215,"11.5M"
"Pre-processing (ktons of battery)","Ambitious_Long_reuse0","Ambitious","Reference","Long lifetime","Reference","0%","0%",2050,11251.7514647347,"Capacity",918.387361849208,10333.3641028855,101.653155892404,"10.3M"
"Pre-processing (ktons of battery)","Ambitious_Long_reuse0","Ambitious","Reference","Long lifetime","Reference","0%","12%",2050,11882.1195460765,"Capacity",918.387361849208,10963.7321842273,104.707842037869,"11M"
"Pre-processing (ktons of battery)","Ambitious_Long_reuse0","Ambitious","Reference","Long lifetime","Reference","0%","16%",2050,12092.2422398571,"Capacity",918.387361849208,11173.8548780079,105.706456179402,"11.2M"
"Pre-processing (ktons of battery)","Ambitious_Long_reuse0","Ambitious","Reference","Long lifetime","Reference","0%","20%",2050,12302.3649336377,"Capacity",918.387361849208,11383.9775717885,106.695724243235,"11.4M"
"Pre-processing (ktons of battery)","Ambitious_Long_reuse0","Ambitious","Reference","Long lifetime","Reference","0%","4%",2050,11461.8741585153,"Capacity",918.387361849208,10543.4867966661,102.681482248096,"10.5M"
"Pre-processing (ktons of battery)","Ambitious_Long_reuse0","Ambitious","Reference","Long lifetime","Reference","0%","8%",2050,11671.9968522959,"Capacity",918.387361849208,10753.6094904467,103.699611814349,"10.8M"
"Pre-processing (ktons of battery)","Ambitious_Long_reuse0Large","Ambitious","Large LIB","Long lifetime","100% LIB prod.","0%","0%",2050,13746.5750808155,"Capacity",918.387361849208,12828.1877189663,113.261589777675,"12.8M"
"Pre-processing (ktons of battery)","Ambitious_Long_reuse0Large","Ambitious","Large LIB","Long lifetime","100% LIB prod.","0%","12%",2050,15846.8733206304,"Capacity",918.387361849208,14928.4859587811,122.182183475256,"14.9M"
"Pre-processing (ktons of battery)","Ambitious_Long_reuse0Large","Ambitious","Large LIB","Long lifetime","100% LIB prod.","0%","16%",2050,16546.972733902,"Capacity",918.387361849208,15628.5853720528,125.014340665592,"15.6M"
"Pre-processing (ktons of battery)","Ambitious_Long_reuse0Large","Ambitious","Large LIB","Long lifetime","100% LIB prod.","0%","20%",2050,17247.0721471736,"Capacity",918.387361849208,16328.6847853244,127.783742257473,"16.3M"
"Pre-processing (ktons of battery)","Ambitious_Long_reuse0Large","Ambitious","Large LIB","Long lifetime","100% LIB prod.","0%","4%",2050,14446.6744940871,"Capacity",918.387361849208,13528.2871322379,116.311165122863,"13.5M"
"Pre-processing (ktons of battery)","Ambitious_Long_reuse0Large","Ambitious","Large LIB","Long lifetime","100% LIB prod.","0%","8%",2050,15146.7739073587,"Capacity",918.387361849208,14228.3865455095,119.282800711207,"14.2M"
"Pre-processing (ktons of battery)","Ambitious_Long_reuse0Large","Ambitious","Large LIB","Long lifetime","Reference","0%","0%",2050,13746.5750808155,"Capacity",918.387361849208,12828.1877189663,113.261589777675,"12.8M"
"Pre-processing (ktons of battery)","Ambitious_Long_reuse0Large","Ambitious","Large LIB","Long lifetime","Reference","0%","12%",2050,14374.7732706643,"Capacity",918.387361849208,13456.3859088151,116.001663388139,"13.5M"
"Pre-processing (ktons of battery)","Ambitious_Long_reuse0Large","Ambitious","Large LIB","Long lifetime","Reference","0%","16%",2050,14584.1726672806,"Capacity",918.387361849208,13665.7853054314,116.900749806968,"13.7M"
"Pre-processing (ktons of battery)","Ambitious_Long_reuse0Large","Ambitious","Large LIB","Long lifetime","Reference","0%","20%",2050,14793.5720638968,"Capacity",918.387361849208,13875.1847020476,117.792973907817,"13.9M"
"Pre-processing (ktons of battery)","Ambitious_Long_reuse0Large","Ambitious","Large LIB","Long lifetime","Reference","0%","4%",2050,13955.9744774318,"Capacity",918.387361849208,13037.5871155826,114.182253943345,"13M"
"Pre-processing (ktons of battery)","Ambitious_Long_reuse0Large","Ambitious","Large LIB","Long lifetime","Reference","0%","8%",2050,14165.373874048,"Capacity",918.387361849208,13246.9865121988,115.095553833321,"13.2M"
"Pre-processing (ktons of battery)","Ambitious_Long_reuse0LargeRecycling","Ambitious","Large LIB","Long lifetime","Recycling","0%","0%",2050,13460.3686731822,"Capacity",918.387361849208,12541.981311333,111.990987634421,"12.5M"
"Pre-processing (ktons of battery)","Ambitious_Long_reuse0LargeRecycling","Ambitious","Large LIB","Long lifetime","Recycling","0%","12%",2050,14087.8003443264,"Capacity",918.387361849208,13169.4129824772,114.758062821212,"13.2M"
"Pre-processing (ktons of battery)","Ambitious_Long_reuse0LargeRecycling","Ambitious","Large LIB","Long lifetime","Recycling","0%","16%",2050,14296.9442347078,"Capacity",918.387361849208,13378.5568728586,115.665711742325,"13.4M"
"Pre-processing (ktons of battery)","Ambitious_Long_reuse0LargeRecycling","Ambitious","Large LIB","Long lifetime","Recycling","0%","20%",2050,14506.0881250892,"Capacity",918.387361849208,13587.70076324,116.566293426702,"13.6M"
"Pre-processing (ktons of battery)","Ambitious_Long_reuse0LargeRecycling","Ambitious","Large LIB","Long lifetime","Recycling","0%","4%",2050,13669.5125635636,"Capacity",918.387361849208,12751.1252017144,112.920880273377,"12.8M"
"Pre-processing (ktons of battery)","Ambitious_Long_reuse0LargeRecycling","Ambitious","Large LIB","Long lifetime","Recycling","0%","8%",2050,13878.656453945,"Capacity",918.387361849208,12960.2690920958,113.843177626487,"13M"
"Pre-processing (ktons of battery)","Ambitious_Long_reuse0LargeRepurposing","Ambitious","Large LIB","Long lifetime","Repurposing","0%","0%",2050,14114.0069651942,"Capacity",918.387361849208,13195.619603345,114.872188119427,"13.2M"
"Pre-processing (ktons of battery)","Ambitious_Long_reuse0LargeRepurposing","Ambitious","Large LIB","Long lifetime","Repurposing","0%","12%",2050,14743.7034252063,"Capacity",918.387361849208,13825.3160633571,117.581104193476,"13.8M"
"Pre-processing (ktons of battery)","Ambitious_Long_reuse0LargeRepurposing","Ambitious","Large LIB","Long lifetime","Repurposing","0%","16%",2050,14953.6022452104,"Capacity",918.387361849208,14035.2148833612,118.470312244719,"14M"
"Pre-processing (ktons of battery)","Ambitious_Long_reuse0LargeRepurposing","Ambitious","Large LIB","Long lifetime","Repurposing","0%","20%",2050,15163.5010652144,"Capacity",918.387361849208,14245.1137033652,119.352895663931,"14.2M"
"Pre-processing (ktons of battery)","Ambitious_Long_reuse0LargeRepurposing","Ambitious","Large LIB","Long lifetime","Repurposing","0%","4%",2050,14323.9057851983,"Capacity",918.387361849208,13405.5184233491,115.782202532812,"13.4M"
"Pre-processing (ktons of battery)","Ambitious_Long_reuse0LargeRepurposing","Ambitious","Large LIB","Long lifetime","Repurposing","0%","8%",2050,14533.8046052023,"Capacity",918.387361849208,13615.4172433531,116.685120059728,"13.6M"
"Pre-processing (ktons of battery)","Ambitious_Long_reuse0Recycling","Ambitious","Reference","Long lifetime","Recycling","0%","0%",2050,11074.8947334392,"Capacity",918.387361849208,10156.50737159,100.779498766317,"10.2M"
"Pre-processing (ktons of battery)","Ambitious_Long_reuse0Recycling","Ambitious","Reference","Long lifetime","Recycling","0%","12%",2050,11704.8276112731,"Capacity",918.387361849208,10786.4402494239,103.85778858335,"10.8M"
"Pre-processing (ktons of battery)","Ambitious_Long_reuse0Recycling","Ambitious","Reference","Long lifetime","Recycling","0%","16%",2050,11914.8052372177,"Capacity",918.387361849208,10996.4178753685,104.863806317378,"11M"
"Pre-processing (ktons of battery)","Ambitious_Long_reuse0Recycling","Ambitious","Reference","Long lifetime","Recycling","0%","20%",2050,12124.7828631624,"Capacity",918.387361849208,11206.3955013131,105.860264033834,"11.2M"
"Pre-processing (ktons of battery)","Ambitious_Long_reuse0Recycling","Ambitious","Reference","Long lifetime","Recycling","0%","4%",2050,11284.8723593839,"Capacity",918.387361849208,10366.4849975347,101.815936854378,"10.4M"
"Pre-processing (ktons of battery)","Ambitious_Long_reuse0Recycling","Ambitious","Reference","Long lifetime","Recycling","0%","8%",2050,11494.8499853285,"Capacity",918.387361849208,10576.4626234793,102.841930278847,"10.6M"
"Pre-processing (ktons of battery)","Ambitious_Long_reuse0Repurposing","Ambitious","Reference","Long lifetime","Repurposing","0%","0%",2050,11556.2951616212,"Capacity",918.387361849208,10637.907799772,103.140233661612,"10.6M"
"Pre-processing (ktons of battery)","Ambitious_Long_reuse0Repurposing","Ambitious","Reference","Long lifetime","Repurposing","0%","12%",2050,12188.1849174901,"Capacity",918.387361849208,11269.7975556409,106.159302727745,"11.3M"
"Pre-processing (ktons of battery)","Ambitious_Long_reuse0Repurposing","Ambitious","Reference","Long lifetime","Repurposing","0%","16%",2050,12398.8148361131,"Capacity",918.387361849208,11480.4274742639,107.146756713696,"11.5M"
"Pre-processing (ktons of battery)","Ambitious_Long_reuse0Repurposing","Ambitious","Reference","Long lifetime","Repurposing","0%","20%",2050,12609.4447547361,"Capacity",918.387361849208,11691.0573928869,108.125193146125,"11.7M"
"Pre-processing (ktons of battery)","Ambitious_Long_reuse0Repurposing","Ambitious","Reference","Long lifetime","Repurposing","0%","4%",2050,11766.9250802442,"Capacity",918.387361849208,10848.537718395,104.156313867163,"10.8M"
"Pre-processing (ktons of battery)","Ambitious_Long_reuse0Repurposing","Ambitious","Reference","Long lifetime","Repurposing","0%","8%",2050,11977.5549988672,"Capacity",918.387361849208,11059.1676370179,105.162577169913,"11.1M"
"Pre-processing (ktons of battery)","Ambitious_Long_reuse0Small","Ambitious","Small LIB","Long lifetime","100% LIB prod.","0%","0%",2050,8435.74461418375,"Capacity",918.387361849208,7517.35725233454,86.7026946082677,"7.5M"
"Pre-processing (ktons of battery)","Ambitious_Long_reuse0Small","Ambitious","Small LIB","Long lifetime","100% LIB prod.","0%","12%",2050,9683.31148835327,"Capacity",918.387361849208,8764.92412650406,93.6211734945897,"8.8M"
"Pre-processing (ktons of battery)","Ambitious_Long_reuse0Small","Ambitious","Small LIB","Long lifetime","100% LIB prod.","0%","16%",2050,10099.1671130764,"Capacity",918.387361849208,9180.77975122724,95.8163856092852,"9.2M"
"Pre-processing (ktons of battery)","Ambitious_Long_reuse0Small","Ambitious","Small LIB","Long lifetime","100% LIB prod.","0%","20%",2050,10515.0227377996,"Capacity",918.387361849208,9596.63537595041,97.9624181814149,"9.6M"
