"Stage","Scenario","Sales","Size","Lifetime","eol","Reuse","Scrap","Year","ktons","type","cap","deficit","deficit_trans","lab_def"
"Pre-processing (ktons of battery)","Ambitious_Long_reuse0","Ambitious","Reference","Long lifetime","100% LIB prod.","0%","0%",2030,530.203657265026,"Capacity",918.387361849208,-388.183704584181,-19.7023781453961,"-0.4M"
"Pre-processing (ktons of battery)","Ambitious_Long_reuse0","Ambitious","Reference","Long lifetime","100% LIB prod.","0%","12%",2030,1322.48775054406,"Capacity",918.387361849208,404.100388694853,20.1022483492482,"0.4M"
"Pre-processing (ktons of battery)","Ambitious_Long_reuse0","Ambitious","Reference","Long lifetime","100% LIB prod.","0%","16%",2030,1586.58244830374,"Capacity",918.387361849208,668.195086454531,25.8494697519027,"0.7M"
"Pre-processing (ktons of battery)","Ambitious_Long_reuse0","Ambitious","Reference","Long lifetime","100% LIB prod.","0%","20%",2030,1850.67714606342,"Capacity",918.387361849208,932.289784214209,30.5334207748527,"0.9M"
"Pre-processing (ktons of battery)","Ambitious_Long_reuse0","Ambitious","Reference","Long lifetime","100% LIB prod.","0%","4%",2030,794.298355024704,"Capacity",918.387361849208,-124.089006824503,-11.1395245331434,"-0.1M"
"Pre-processing (ktons of battery)","Ambitious_Long_reuse0","Ambitious","Reference","Long lifetime","100% LIB prod.","0%","8%",2030,1058.39305278438,"Capacity",918.387361849208,140.005690935175,11.8324000496592,"0.1M"
"Pre-processing (ktons of battery)","Ambitious_Long_reuse0","Ambitious","Reference","Long lifetime","Reference","0%","0%",2030,530.203657265026,"Capacity",918.387361849208,-388.183704584181,-19.7023781453961,"-0.4M"
"Pre-processing (ktons of battery)","Ambitious_Long_reuse0","Ambitious","Reference","Long lifetime","Reference","0%","12%",2030,1158.0569560626,"Capacity",918.387361849208,239.669594213391,15.4812659112035,"0.2M"
"Pre-processing (ktons of battery)","Ambitious_Long_reuse0","Ambitious","Reference","Long lifetime","Reference","0%","16%",2030,1367.34138899512,"Capacity",918.387361849208,448.954027145915,21.1885352760854,"0.4M"
"Pre-processing (ktons of battery)","Ambitious_Long_reuse0","Ambitious","Reference","Long lifetime","Reference","0%","20%",2030,1576.62582192765,"Capacity",918.387361849208,658.238460078439,25.656158326578,"0.7M"
"Pre-processing (ktons of battery)","Ambitious_Long_reuse0","Ambitious","Reference","Long lifetime","Reference","0%","4%",2030,739.48809019755,"Capacity",918.387361849208,-178.899271651657,-13.3753232354084,"-0.2M"
"Pre-processing (ktons of battery)","Ambitious_Long_reuse0","Ambitious","Reference","Long lifetime","Reference","0%","8%",2030,948.772523130075,"Capacity",918.387361849208,30.385161280867,5.51227369429957,"0M"
"Pre-processing (ktons of battery)","Ambitious_Long_reuse0Large","Ambitious","Large LIB","Long lifetime","100% LIB prod.","0%","0%",2030,535.399847975287,"Capacity",918.387361849208,-382.98751387392,-19.5700667825616,"-0.4M"
"Pre-processing (ktons of battery)","Ambitious_Long_reuse0Large","Ambitious","Large LIB","Long lifetime","100% LIB prod.","0%","12%",2030,1417.07503206849,"Capacity",918.387361849208,498.687670219285,22.3313159088148,"0.5M"
"Pre-processing (ktons of battery)","Ambitious_Long_reuse0Large","Ambitious","Large LIB","Long lifetime","100% LIB prod.","0%","16%",2030,1710.96676009956,"Capacity",918.387361849208,792.579398250354,28.1527866871177,"0.8M"
"Pre-processing (ktons of battery)","Ambitious_Long_reuse0Large","Ambitious","Large LIB","Long lifetime","100% LIB prod.","0%","20%",2030,2004.85848813063,"Capacity",918.387361849208,1086.47112628142,32.9616614611798,"1.1M"
"Pre-processing (ktons of battery)","Ambitious_Long_reuse0Large","Ambitious","Large LIB","Long lifetime","100% LIB prod.","0%","4%",2030,829.291576006356,"Capacity",918.387361849208,-89.0957858428518,-9.43905640638151,"-0.1M"
"Pre-processing (ktons of battery)","Ambitious_Long_reuse0Large","Ambitious","Large LIB","Long lifetime","100% LIB prod.","0%","8%",2030,1123.18330403742,"Capacity",918.387361849208,204.795942188217,14.3106932811872,"0.2M"
"Pre-processing (ktons of battery)","Ambitious_Long_reuse0Large","Ambitious","Large LIB","Long lifetime","Reference","0%","0%",2030,535.399847975287,"Capacity",918.387361849208,-382.98751387392,-19.5700667825616,"-0.4M"
"Pre-processing (ktons of battery)","Ambitious_Long_reuse0Large","Ambitious","Large LIB","Long lifetime","Reference","0%","12%",2030,1162.93874169868,"Capacity",918.387361849208,244.551379849473,15.6381386312269,"0.2M"
"Pre-processing (ktons of battery)","Ambitious_Long_reuse0Large","Ambitious","Large LIB","Long lifetime","Reference","0%","16%",2030,1372.11837293981,"Capacity",918.387361849208,453.731011090603,21.3009626799026,"0.5M"
"Pre-processing (ktons of battery)","Ambitious_Long_reuse0Large","Ambitious","Large LIB","Long lifetime","Reference","0%","20%",2030,1581.29800418094,"Capacity",918.387361849208,662.910642331734,25.7470511385621,"0.7M"
"Pre-processing (ktons of battery)","Ambitious_Long_reuse0Large","Ambitious","Large LIB","Long lifetime","Reference","0%","4%",2030,744.579479216418,"Capacity",918.387361849208,-173.807882632789,-13.1836217570434,"-0.2M"
"Pre-processing (ktons of battery)","Ambitious_Long_reuse0Large","Ambitious","Large LIB","Long lifetime","Reference","0%","8%",2030,953.759110457549,"Capacity",918.387361849208,35.3717486083416,5.94741528803409,"0M"
"Pre-processing (ktons of battery)","Ambitious_Long_reuse0LargeRecycling","Ambitious","Large LIB","Long lifetime","Recycling","0%","0%",2030,553.479779586541,"Capacity",918.387361849208,-364.907582262666,-19.1025543386916,"-0.4M"
"Pre-processing (ktons of battery)","Ambitious_Long_reuse0LargeRecycling","Ambitious","Large LIB","Long lifetime","Recycling","0%","12%",2030,1181.29933510378,"Capacity",918.387361849208,262.91197325457,16.2145605322676,"0.3M"
