"Vehicle","Country","Year","Stage","ktons"
"Buses","Mexico",2038,"Pre-processing (ktons of battery)",3.02566809300936
"Buses","Mexico",2038,"Refining (ktons of black mass)",0.907216499477985
"Buses","Mexico",2039,"Pre-processing (ktons of battery)",3.54328238660683
"Buses","Mexico",2039,"Refining (ktons of black mass)",1.0624179998019
"Buses","Mexico",2040,"Pre-processing (ktons of battery)",4.12966186413633
"Buses","Mexico",2040,"Refining (ktons of black mass)",1.23823805693214
"Buses","Mexico",2041,"Pre-processing (ktons of battery)",4.77042835077571
"Buses","Mexico",2041,"Refining (ktons of black mass)",1.43036551808192
"Buses","Mexico",2042,"Pre-processing (ktons of battery)",5.48496112563309
"Buses","Mexico",2042,"Refining (ktons of black mass)",1.64461106744212
"Buses","Mexico",2043,"Pre-processing (ktons of battery)",6.28388753531614
"Buses","Mexico",2043,"Refining (ktons of black mass)",1.88416120924643
"Buses","Mexico",2044,"Pre-processing (ktons of battery)",7.18158575464701
"Buses","Mexico",2044,"Refining (ktons of black mass)",2.15332709628163
"Buses","Mexico",2045,"Pre-processing (ktons of battery)",8.16492788487505
"Buses","Mexico",2045,"Refining (ktons of black mass)",2.44817245861198
"Buses","Mexico",2046,"Pre-processing (ktons of battery)",9.24329099653645
"Buses","Mexico",2046,"Refining (ktons of black mass)",2.77150891762014
"Buses","Mexico",2047,"Pre-processing (ktons of battery)",10.4198007798099
"Buses","Mexico",2047,"Refining (ktons of black mass)",3.12427368043369
"Buses","Mexico",2048,"Pre-processing (ktons of battery)",11.6775785077303
"Buses","Mexico",2048,"Refining (ktons of black mass)",3.50140582856379
"Buses","Mexico",2049,"Pre-processing (ktons of battery)",13.0278766649411
"Buses","Mexico",2049,"Refining (ktons of black mass)",3.90627930766967
"Buses","Mexico",2050,"Pre-processing (ktons of battery)",14.4663192851921
"Buses","Mexico",2050,"Refining (ktons of black mass)",4.33758202777274
"Buses","United States",2025,"Pre-processing (ktons of battery)",1.07175706276598
"Buses","United States",2025,"Refining (ktons of black mass)",0.321527118829795
"Buses","United States",2026,"Pre-processing (ktons of battery)",1.79854003847272
