"Stage","Scenario","Sales","Size","Lifetime","eol","Reuse","Scrap","Year","ktons","type","cap","deficit","deficit_trans","lab_def"
"Pre-processing (ktons of battery)","Ambitious_Long_reuse0","Ambitious","Reference","Long lifetime","100% LIB prod.","0%","0%",2045,7484.8890766543,"Capacity",918.387361849208,6566.5017148051,81.0339540859577,"6.6M"
"Pre-processing (ktons of battery)","Ambitious_Long_reuse0","Ambitious","Reference","Long lifetime","100% LIB prod.","0%","12%",2045,9081.98315938882,"Capacity",918.387361849208,8163.59579753962,90.3526192068587,"8.2M"
"Pre-processing (ktons of battery)","Ambitious_Long_reuse0","Ambitious","Reference","Long lifetime","100% LIB prod.","0%","16%",2045,9614.34785363367,"Capacity",918.387361849208,8695.96049178446,93.2521339797887,"8.7M"
"Pre-processing (ktons of battery)","Ambitious_Long_reuse0","Ambitious","Reference","Long lifetime","100% LIB prod.","0%","20%",2045,10146.7125478785,"Capacity",918.387361849208,9228.3251860293,96.0641722289288,"9.2M"
"Pre-processing (ktons of battery)","Ambitious_Long_reuse0","Ambitious","Reference","Long lifetime","100% LIB prod.","0%","4%",2045,8017.25377089914,"Capacity",918.387361849208,7098.86640904994,84.2547708385106,"7.1M"
"Pre-processing (ktons of battery)","Ambitious_Long_reuse0","Ambitious","Reference","Long lifetime","100% LIB prod.","0%","8%",2045,8549.61846514398,"Capacity",918.387361849208,7631.23110329478,87.3569178903124,"7.6M"
"Pre-processing (ktons of battery)","Ambitious_Long_reuse0","Ambitious","Reference","Long lifetime","Reference","0%","0%",2045,7484.8890766543,"Capacity",918.387361849208,6566.5017148051,81.0339540859577,"6.6M"
"Pre-processing (ktons of battery)","Ambitious_Long_reuse0","Ambitious","Reference","Long lifetime","Reference","0%","12%",2045,8113.14059151947,"Capacity",918.387361849208,7194.75322967026,84.8218912172457,"7.2M"
"Pre-processing (ktons of battery)","Ambitious_Long_reuse0","Ambitious","Reference","Long lifetime","Reference","0%","16%",2045,8322.55776314119,"Capacity",918.387361849208,7404.17040129198,86.047489221313,"7.4M"
"Pre-processing (ktons of battery)","Ambitious_Long_reuse0","Ambitious","Reference","Long lifetime","Reference","0%","20%",2045,8531.97493476291,"Capacity",918.387361849208,7613.5875729137,87.2558741456053,"7.6M"
"Pre-processing (ktons of battery)","Ambitious_Long_reuse0","Ambitious","Reference","Long lifetime","Reference","0%","4%",2045,7694.30624827603,"Capacity",918.387361849208,6775.91888642682,82.3159698140453,"6.8M"
"Pre-processing (ktons of battery)","Ambitious_Long_reuse0","Ambitious","Reference","Long lifetime","Reference","0%","8%",2045,7903.72341989775,"Capacity",918.387361849208,6985.33605804854,83.5783228956441,"7M"
"Pre-processing (ktons of battery)","Ambitious_Long_reuse0Large","Ambitious","Large LIB","Long lifetime","100% LIB prod.","0%","0%",2045,8828.12686596205,"Capacity",918.387361849208,7909.73950411284,88.936716288116,"7.9M"
"Pre-processing (ktons of battery)","Ambitious_Long_reuse0Large","Ambitious","Large LIB","Long lifetime","100% LIB prod.","0%","12%",2045,10797.2090986353,"Capacity",918.387361849208,9878.82173678612,99.3922619562817,"9.9M"
"Pre-processing (ktons of battery)","Ambitious_Long_reuse0Large","Ambitious","Large LIB","Long lifetime","100% LIB prod.","0%","16%",2045,11453.5698428597,"Capacity",918.387361849208,10535.1824810105,102.641037022287,"10.5M"
"Pre-processing (ktons of battery)","Ambitious_Long_reuse0Large","Ambitious","Large LIB","Long lifetime","100% LIB prod.","0%","20%",2045,12109.9305870842,"Capacity",918.387361849208,11191.543225235,105.790090392413,"11.2M"
"Pre-processing (ktons of battery)","Ambitious_Long_reuse0Large","Ambitious","Large LIB","Long lifetime","100% LIB prod.","0%","4%",2045,9484.48761018648,"Capacity",918.387361849208,8566.10024833727,92.5532292701733,"8.6M"
"Pre-processing (ktons of battery)","Ambitious_Long_reuse0Large","Ambitious","Large LIB","Long lifetime","100% LIB prod.","0%","8%",2045,10140.8483544109,"Capacity",918.387361849208,9222.46099256169,96.0336451071274,"9.2M"
"Pre-processing (ktons of battery)","Ambitious_Long_reuse0Large","Ambitious","Large LIB","Long lifetime","Reference","0%","0%",2045,8828.12686596205,"Capacity",918.387361849208,7909.73950411284,88.936716288116,"7.9M"
"Pre-processing (ktons of battery)","Ambitious_Long_reuse0Large","Ambitious","Large LIB","Long lifetime","Reference","0%","12%",2045,9454.1793746553,"Capacity",918.387361849208,8535.79201280609,92.3893501049017,"8.5M"
"Pre-processing (ktons of battery)","Ambitious_Long_reuse0Large","Ambitious","Large LIB","Long lifetime","Reference","0%","16%",2045,9662.86354421971,"Capacity",918.387361849208,8744.4761823705,93.5119039607819,"8.7M"
"Pre-processing (ktons of battery)","Ambitious_Long_reuse0Large","Ambitious","Large LIB","Long lifetime","Reference","0%","20%",2045,9871.54771378413,"Capacity",918.387361849208,8953.16035193492,94.6211411468649,"9M"
"Pre-processing (ktons of battery)","Ambitious_Long_reuse0Large","Ambitious","Large LIB","Long lifetime","Reference","0%","4%",2045,9036.81103552647,"Capacity",918.387361849208,8118.42367367726,90.1022956071445,"8.1M"
"Pre-processing (ktons of battery)","Ambitious_Long_reuse0Large","Ambitious","Large LIB","Long lifetime","Reference","0%","8%",2045,9245.49520509088,"Capacity",918.387361849208,8327.10784324167,91.2529881332205,"8.3M"
"Pre-processing (ktons of battery)","Ambitious_Long_reuse0LargeRecycling","Ambitious","Large LIB","Long lifetime","Recycling","0%","0%",2045,8738.86623430965,"Capacity",918.387361849208,7820.47887246044,88.4334714486571,"7.8M"
"Pre-processing (ktons of battery)","Ambitious_Long_reuse0LargeRecycling","Ambitious","Large LIB","Long lifetime","Recycling","0%","12%",2045,9365.16755355869,"Capacity",918.387361849208,8446.78019170948,91.906366437312,"8.4M"
"Pre-processing (ktons of battery)","Ambitious_Long_reuse0LargeRecycling","Ambitious","Large LIB","Long lifetime","Recycling","0%","16%",2045,9573.93465997503,"Capacity",918.387361849208,8655.54729812582,93.0351938683734,"8.7M"
"Pre-processing (ktons of battery)","Ambitious_Long_reuse0LargeRecycling","Ambitious","Large LIB","Long lifetime","Recycling","0%","20%",2045,9782.70176639138,"Capacity",918.387361849208,8864.31440454217,94.1504880738394,"8.9M"
"Pre-processing (ktons of battery)","Ambitious_Long_reuse0LargeRecycling","Ambitious","Large LIB","Long lifetime","Recycling","0%","4%",2045,8947.63334072599,"Capacity",918.387361849208,8029.24597887679,89.606059945055,"8M"
"Pre-processing (ktons of battery)","Ambitious_Long_reuse0LargeRecycling","Ambitious","Large LIB","Long lifetime","Recycling","0%","8%",2045,9156.40044714234,"Capacity",918.387361849208,8238.01308529313,90.7635008430874,"8.2M"
"Pre-processing (ktons of battery)","Ambitious_Long_reuse0LargeRepurposing","Ambitious","Large LIB","Long lifetime","Repurposing","0%","0%",2045,9030.54170068124,"Capacity",918.387361849208,8112.15433883203,90.0674987930276,"8.1M"
"Pre-processing (ktons of battery)","Ambitious_Long_reuse0LargeRepurposing","Ambitious","Large LIB","Long lifetime","Repurposing","0%","12%",2045,9657.29899160964,"Capacity",918.387361849208,8738.91162976043,93.4821460481114,"8.7M"
"Pre-processing (ktons of battery)","Ambitious_Long_reuse0LargeRepurposing","Ambitious","Large LIB","Long lifetime","Repurposing","0%","16%",2045,9866.21808858577,"Capacity",918.387361849208,8947.83072673657,94.5929739818797,"8.9M"
"Pre-processing (ktons of battery)","Ambitious_Long_reuse0LargeRepurposing","Ambitious","Large LIB","Long lifetime","Repurposing","0%","20%",2045,10075.1371855619,"Capacity",918.387361849208,9156.7498237127,95.6909077379491,"9.2M"
"Pre-processing (ktons of battery)","Ambitious_Long_reuse0LargeRepurposing","Ambitious","Large LIB","Long lifetime","Repurposing","0%","4%",2045,9239.46079765737,"Capacity",918.387361849208,8321.07343580817,91.2199179774251,"8.3M"
"Pre-processing (ktons of battery)","Ambitious_Long_reuse0LargeRepurposing","Ambitious","Large LIB","Long lifetime","Repurposing","0%","8%",2045,9448.37989463351,"Capacity",918.387361849208,8529.9925327843,92.3579586867548,"8.5M"
