"Scenario","scen_name","Year","Stage","ktons","capacity","net"
"Ambitious__reuse0","Ambitious",2048,"Pre-processing (ktons of battery)",12799.3731621346,918.387361849208,-11880.9858002854
"Ambitious__reuse0","Ambitious",2048,"Refining (ktons of black mass)",3668.48660688501,384.659890081212,-3283.8267168038
"Ambitious__reuse0","Ambitious",2049,"Pre-processing (ktons of battery)",13525.4106923782,918.387361849208,-12607.023330529
"Ambitious__reuse0","Ambitious",2049,"Refining (ktons of black mass)",3876.24613435058,384.659890081212,-3491.58624426937
"Ambitious__reuse0","Ambitious",2050,"Pre-processing (ktons of battery)",14023.3574677276,918.387361849208,-13104.9701058784
"Ambitious__reuse0","Ambitious",2050,"Refining (ktons of black mass)",4017.30791579175,384.659890081212,-3632.64802571053
"Momentum_Long_reuse0","Long life",2025,"Pre-processing (ktons of battery)",99.1245019951239,322.423361849208,223.298859854084
"Momentum_Long_reuse0","Long life",2025,"Refining (ktons of black mass)",28.7821700196468,0,-28.7821700196468
"Momentum_Long_reuse0","Long life",2026,"Pre-processing (ktons of battery)",146.990913542262,495.528361849208,348.537448306946
"Momentum_Long_reuse0","Long life",2026,"Refining (ktons of black mass)",43.1926454747239,6.59364669564592,-36.598998779078
"Momentum_Long_reuse0","Long life",2027,"Pre-processing (ktons of battery)",306.814149672866,534.528361849207,227.714212176342
"Momentum_Long_reuse0","Long life",2027,"Refining (ktons of black mass)",91.5057072430994,96.7806103840414,5.27490314094196
"Momentum_Long_reuse0","Long life",2028,"Pre-processing (ktons of battery)",471.984390934581,786.528361849207,314.543970914626
"Momentum_Long_reuse0","Long life",2028,"Refining (ktons of black mass)",143.825903859808,151.582672598708,7.75676873890009
"Momentum_Long_reuse0","Long life",2029,"Pre-processing (ktons of battery)",651.887012112406,837.528361849207,185.641349736801
"Momentum_Long_reuse0","Long life",2029,"Refining (ktons of black mass)",198.877170149846,162.295283655217,-36.5818864946291
"Momentum_Long_reuse0","Long life",2030,"Pre-processing (ktons of battery)",717.236611180967,918.387361849208,201.150750668241
"Momentum_Long_reuse0","Long life",2030,"Refining (ktons of black mass)",218.802714684629,373.123232020356,154.320517335727
"Momentum_Long_reuse0","Long life",2031,"Pre-processing (ktons of battery)",808.303395530173,918.387361849208,110.083966319035
"Momentum_Long_reuse0","Long life",2031,"Refining (ktons of black mass)",245.537234816078,373.123232020356,127.585997204278
"Momentum_Long_reuse0","Long life",2032,"Pre-processing (ktons of battery)",910.543670443735,918.387361849208,7.84369140547301
"Momentum_Long_reuse0","Long life",2032,"Refining (ktons of black mass)",275.560645268441,384.659890081212,109.099244812772
"Momentum_Long_reuse0","Long life",2033,"Pre-processing (ktons of battery)",1033.55011064285,918.387361849208,-115.162748793645
"Momentum_Long_reuse0","Long life",2033,"Refining (ktons of black mass)",311.594767571085,384.659890081212,73.0651225101274
"Momentum_Long_reuse0","Long life",2034,"Pre-processing (ktons of battery)",1188.99111323039,918.387361849208,-270.603751381183
"Momentum_Long_reuse0","Long life",2034,"Refining (ktons of black mass)",357.002503872431,384.659890081212,27.6573862087811
"Momentum_Long_reuse0","Long life",2035,"Pre-processing (ktons of battery)",1382.61978673941,918.387361849208,-464.232424890199
"Momentum_Long_reuse0","Long life",2035,"Refining (ktons of black mass)",413.373985234528,384.659890081212,-28.7140951533153
"Momentum_Long_reuse0","Long life",2036,"Pre-processing (ktons of battery)",1618.1577054717,918.387361849208,-699.77034362249
