"Stage","Year","type","ktons"
"Refining (ktons of black mass)",2042,"Capacity",1358.38088137732
"Refining (ktons of black mass)",2042,"Feedstock",1967.34907077446
"Refining (ktons of black mass)",2043,"Capacity",1358.38088137732
"Refining (ktons of black mass)",2043,"Feedstock",2216.21511107779
"Refining (ktons of black mass)",2044,"Capacity",1358.38088137732
"Refining (ktons of black mass)",2044,"Feedstock",2454.9341110851
"Refining (ktons of black mass)",2045,"Capacity",1358.38088137732
"Refining (ktons of black mass)",2045,"Feedstock",2671.38127816317
"Refining (ktons of black mass)",2046,"Capacity",1358.38088137732
"Refining (ktons of black mass)",2046,"Feedstock",2879.32276430359
"Refining (ktons of black mass)",2047,"Capacity",1358.38088137732
"Refining (ktons of black mass)",2047,"Feedstock",3081.66932081868
"Refining (ktons of black mass)",2048,"Capacity",1358.38088137732
"Refining (ktons of black mass)",2048,"Feedstock",3276.84078364786
"Refining (ktons of black mass)",2049,"Capacity",1358.38088137732
"Refining (ktons of black mass)",2049,"Feedstock",3452.31116142941
"Refining (ktons of black mass)",2050,"Capacity",1358.38088137732
"Refining (ktons of black mass)",2050,"Feedstock",3565.79184221538
