"Stage","Scenario","Sales","Size","Lifetime","eol","Reuse","Scrap","Year","ktons","type","cap","deficit","deficit_trans","lab_def"
"Pre-processing (ktons of battery)","Ambitious_Long_reuse0","Ambitious","Reference","Long lifetime","100% LIB prod.","0%","0%",2035,1254.89456964981,"Capacity",918.387361849208,336.507207800599,18.3441327895488,"0.3M"
"Pre-processing (ktons of battery)","Ambitious_Long_reuse0","Ambitious","Reference","Long lifetime","100% LIB prod.","0%","12%",2035,2575.9874867577,"Capacity",918.387361849208,1657.6001249085,40.7136356139868,"1.7M"
"Pre-processing (ktons of battery)","Ambitious_Long_reuse0","Ambitious","Reference","Long lifetime","100% LIB prod.","0%","16%",2035,3016.35179246034,"Capacity",918.387361849208,2097.96443061113,45.8035416819609,"2.1M"
"Pre-processing (ktons of battery)","Ambitious_Long_reuse0","Ambitious","Reference","Long lifetime","100% LIB prod.","0%","20%",2035,3456.71609816297,"Capacity",918.387361849208,2538.32873631376,50.3818294260318,"2.5M"
"Pre-processing (ktons of battery)","Ambitious_Long_reuse0","Ambitious","Reference","Long lifetime","100% LIB prod.","0%","4%",2035,1695.25887535244,"Capacity",918.387361849208,776.871513503231,27.8724149205488,"0.8M"
"Pre-processing (ktons of battery)","Ambitious_Long_reuse0","Ambitious","Reference","Long lifetime","100% LIB prod.","0%","8%",2035,2135.62318105507,"Capacity",918.387361849208,1217.23581920586,34.8889068215939,"1.2M"
"Pre-processing (ktons of battery)","Ambitious_Long_reuse0","Ambitious","Reference","Long lifetime","Reference","0%","0%",2035,1254.89456964981,"Capacity",918.387361849208,336.507207800599,18.3441327895488,"0.3M"
"Pre-processing (ktons of battery)","Ambitious_Long_reuse0","Ambitious","Reference","Long lifetime","Reference","0%","12%",2035,1880.38664963045,"Capacity",918.387361849208,961.999287781238,31.0161133571123,"1M"
"Pre-processing (ktons of battery)","Ambitious_Long_reuse0","Ambitious","Reference","Long lifetime","Reference","0%","16%",2035,2088.88400962399,"Capacity",918.387361849208,1170.49664777478,34.2125217979439,"1.2M"
"Pre-processing (ktons of battery)","Ambitious_Long_reuse0","Ambitious","Reference","Long lifetime","Reference","0%","20%",2035,2297.38136961754,"Capacity",918.387361849208,1378.99400776833,37.1348085732017,"1.4M"
"Pre-processing (ktons of battery)","Ambitious_Long_reuse0","Ambitious","Reference","Long lifetime","Reference","0%","4%",2035,1463.39192964335,"Capacity",918.387361849208,545.004567794145,23.3453328910544,"0.5M"
"Pre-processing (ktons of battery)","Ambitious_Long_reuse0","Ambitious","Reference","Long lifetime","Reference","0%","8%",2035,1671.8892896369,"Capacity",918.387361849208,753.501927787692,27.4499895771873,"0.8M"
"Pre-processing (ktons of battery)","Ambitious_Long_reuse0Large","Ambitious","Large LIB","Long lifetime","100% LIB prod.","0%","0%",2035,1318.06819309444,"Capacity",918.387361849208,399.680831245231,19.9920191887971,"0.4M"
"Pre-processing (ktons of battery)","Ambitious_Long_reuse0Large","Ambitious","Large LIB","Long lifetime","100% LIB prod.","0%","12%",2035,2914.44987960772,"Capacity",918.387361849208,1996.06251775851,44.6773154717079,"2M"
"Pre-processing (ktons of battery)","Ambitious_Long_reuse0Large","Ambitious","Large LIB","Long lifetime","100% LIB prod.","0%","16%",2035,3446.57710844548,"Capacity",918.387361849208,2528.18974659627,50.2811072530854,"2.5M"
"Pre-processing (ktons of battery)","Ambitious_Long_reuse0Large","Ambitious","Large LIB","Long lifetime","100% LIB prod.","0%","20%",2035,3978.70433728324,"Capacity",918.387361849208,3060.31697543403,55.3201317373163,"3.1M"
"Pre-processing (ktons of battery)","Ambitious_Long_reuse0Large","Ambitious","Large LIB","Long lifetime","100% LIB prod.","0%","4%",2035,1850.1954219322,"Capacity",918.387361849208,931.808060082991,30.5255312825672,"0.9M"
"Pre-processing (ktons of battery)","Ambitious_Long_reuse0Large","Ambitious","Large LIB","Long lifetime","100% LIB prod.","0%","8%",2035,2382.32265076996,"Capacity",918.387361849208,1463.93528892075,38.2614073044988,"1.5M"
"Pre-processing (ktons of battery)","Ambitious_Long_reuse0Large","Ambitious","Large LIB","Long lifetime","Reference","0%","0%",2035,1318.06819309444,"Capacity",918.387361849208,399.680831245231,19.9920191887971,"0.4M"
"Pre-processing (ktons of battery)","Ambitious_Long_reuse0Large","Ambitious","Large LIB","Long lifetime","Reference","0%","12%",2035,1940.6087520254,"Capacity",918.387361849208,1022.22139017619,31.9721971433962,"1M"
