"Country","Year","gwh"
"Canada",2015,10.4650144
"Canada",2016,0.8812712
"Canada",2017,0.88404
"Canada",2018,0.17088
"Canada",2019,0.35552
"Canada",2020,0.663356
"Canada",2021,0.363199999999998
"Canada",2022,1.6024
"Canada",2023,0.904000000000002
"Canada",2024,1.3344
"Canada",2025,0
"Canada",2026,0.8759110563284
"Canada",2027,0.8759110563284
"Canada",2028,1.59591105632848
"Canada",2029,0.8759110563284
"Canada",2030,0.909847898433679
"Canada",2031,2.43278037753688
"Canada",2032,2.4327803775368
"Canada",2033,2.45678037753688
"Canada",2034,2.5127803775368
"Canada",2035,2.49911962338024
"Canada",2036,2.84218953091328
"Canada",2037,2.84218953091328
"Canada",2038,2.9221895309132
"Canada",2039,2.84218953091328
"Canada",2040,2.87572096512768
"Canada",2041,3.34209062336504
"Canada",2042,3.34209062336505
"Canada",2043,3.34209062336504
"Canada",2044,3.34209062336505
"Canada",2045,3.47672551003359
"Canada",2046,2.7369691640804
"Canada",2047,2.7369691640804
"Canada",2048,2.73696916408047
"Canada",2049,2.7369691640804
"Canada",2050,2.69719958480041
"Mexico",2015,2.7056
"Mexico",2016,0.6528
"Mexico",2017,0.4408
"Mexico",2018,0.127199999999999
"Mexico",2019,4.432
"Mexico",2020,1.8704
"Mexico",2021,1.0056
"Mexico",2022,0.416
"Mexico",2023,0.088000000000001
"Mexico",2024,0.6616
"Mexico",2025,1.2
"Mexico",2026,2.4
"Mexico",2027,3.2
"Mexico",2028,4
"Mexico",2029,0.8
"Mexico",2030,0.8
"Mexico",2031,2.4
"Mexico",2032,1.6
"Mexico",2033,1.6
"Mexico",2034,0.8
"Mexico",2035,3.2
"Mexico",2036,2.4
"Mexico",2037,1.6
"Mexico",2038,3.2
"Mexico",2039,1.76
"Mexico",2040,1.76
"Mexico",2041,1.75999999999999
"Mexico",2042,1.76
"Mexico",2043,1.76
"Mexico",2044,1.76
"Mexico",2045,1.76
"Mexico",2046,1.75999999999999
"Mexico",2047,1.76
"Mexico",2048,1.76
"Mexico",2049,1.76
"Mexico",2050,1.76
"United States",2015,69.7212
"United States",2016,13.61472
"United States",2017,9.08376000000001
"United States",2018,9.34768
"United States",2019,11.92592
"United States",2020,19.96008
"United States",2021,22.5208
"United States",2022,15.94808
"United States",2023,20.49048
"United States",2024,32.4528856
"United States",2025,29.350496
"United States",2026,28.5300376
"United States",2027,5.14313200000001
"United States",2028,16.0358264
"United States",2029,29.0076272
"United States",2030,34.5679464
"United States",2031,42.75722
"United States",2032,52.3080032
"United States",2033,64.8397984
"United States",2034,71.4117368
"United States",2035,62.2514504
"United States",2036,66.175796
"United States",2037,57.7839536
"United States",2038,45.0487696000001
"United States",2039,42.0759472
"United States",2040,27.0669336000001
"United States",2041,18.3011327999999
"United States",2042,25.6314296
"United States",2043,21.6637512000001
"United States",2044,21.5187623999998
"United States",2045,27.3474672
"United States",2046,32.0783296
"United States",2047,31.9165616
"United States",2048,27.023056
"United States",2049,22.4289640000001
"United States",2050,37.5017151999999
