"Vehicle","Year","Country","chemistry","kwh_veh"
"Cars",2030,"Canada","NMC 721",1.86162797718553
"Cars",2030,"Canada","NMC 811",16.5060448899908
"Cars",2030,"Canada","NCA",21.2466862082946
"Cars",2030,"Canada","NMC 622",34.077534885549
"Cars",2030,"Mexico","NMC 532",1.2111428751598
"Cars",2030,"Mexico","LFP",24.4974552660907
"Cars",2030,"Mexico","NMC 811",8.92552282526166
"Cars",2030,"Mexico","NCA",11.594677523333
"Cars",2030,"Mexico","NMC 622",19.3039960503848
"Cars",2030,"USA","NMC 532",0.168542361143975
"Cars",2030,"USA","LFP",8.4315204196594
"Cars",2030,"USA","NMC 721",0.826863786502692
"Cars",2030,"USA","NMC 811",11.436967084749
"Cars",2030,"USA","NCA",38.0344963590841
"Cars",2030,"USA","NMC 622",23.9300466919185
"Vans",2030,"Canada","NMC 532",0.362405085965303
"Vans",2030,"Canada","LFP",33.4059624256837
"Vans",2030,"Canada","NMC 811",23.099751801953
"Vans",2030,"Canada","NMC 622",46.6332599967428
"Vans",2030,"Mexico","NMC 532",0.171743319212566
"Vans",2030,"Mexico","LFP",38.6020292911187
"Vans",2030,"Mexico","NMC 811",10.9469436304591
"Vans",2030,"Mexico","NMC 622",22.0994438756579
"Vans",2030,"USA","NMC 532",0.27920506967799
"Vans",2030,"USA","LFP",41.0651650681279
"Vans",2030,"USA","NMC 811",17.7965709124349
"Vans",2030,"USA","NMC 622",35.9273175541167
"Cars",2031,"Canada","NMC 532",0.249725723921526
"Cars",2031,"Canada","LFP",4.94564486526333
"Cars",2031,"Canada","NMC 721",1.86162797718553
"Cars",2031,"Canada","NMC 811",16.5060448899908
"Cars",2031,"Canada","NCA",21.2466862082946
"Cars",2031,"Canada","NMC 622",34.077534885549
"Cars",2031,"Mexico","NMC 532",1.2111428751598
"Cars",2031,"Mexico","LFP",24.4974552660907
"Cars",2031,"Mexico","NMC 811",8.92552282526166
"Cars",2031,"Mexico","NCA",11.594677523333
"Cars",2031,"Mexico","NMC 622",19.3039960503848
"Cars",2031,"USA","NMC 532",0.168542361143975
"Cars",2031,"USA","LFP",8.4315204196594
"Cars",2031,"USA","NMC 721",0.826863786502692
"Cars",2031,"USA","NMC 811",11.436967084749
"Cars",2031,"USA","NCA",38.0344963590841
"Cars",2031,"USA","NMC 622",23.9300466919185
"Vans",2031,"Canada","NMC 532",0.362405085965303
"Vans",2031,"Canada","LFP",33.4059624256837
"Vans",2031,"Canada","NMC 811",23.099751801953
"Vans",2031,"Canada","NMC 622",46.6332599967428
"Vans",2031,"Mexico","NMC 532",0.171743319212566
"Vans",2031,"Mexico","LFP",38.6020292911187
"Vans",2031,"Mexico","NMC 811",10.9469436304591
"Vans",2031,"Mexico","NMC 622",22.0994438756579
"Vans",2031,"USA","NMC 532",0.27920506967799
"Vans",2031,"USA","LFP",41.0651650681279
"Vans",2031,"USA","NMC 811",17.7965709124349
"Vans",2031,"USA","NMC 622",35.9273175541167
"Cars",2032,"Canada","NMC 532",0.249725723921526
"Cars",2032,"Canada","LFP",4.94564486526333
"Cars",2032,"Canada","NMC 721",1.86162797718553
"Cars",2032,"Canada","NMC 811",16.5060448899908
"Cars",2032,"Canada","NCA",21.2466862082946
"Cars",2032,"Canada","NMC 622",34.077534885549
"Cars",2032,"Mexico","NMC 532",1.2111428751598
"Cars",2032,"Mexico","LFP",24.4974552660907
"Cars",2032,"Mexico","NMC 811",8.92552282526166
"Cars",2032,"Mexico","NCA",11.594677523333
"Cars",2032,"Mexico","NMC 622",19.3039960503848
"Cars",2032,"USA","NMC 532",0.168542361143975
"Cars",2032,"USA","LFP",8.4315204196594
"Cars",2032,"USA","NMC 721",0.826863786502692
"Cars",2032,"USA","NMC 811",11.436967084749
"Cars",2032,"USA","NCA",38.0344963590841
"Cars",2032,"USA","NMC 622",23.9300466919185
"Vans",2032,"Canada","NMC 532",0.362405085965303
"Vans",2032,"Canada","LFP",33.4059624256837
"Vans",2032,"Canada","NMC 811",23.099751801953
"Vans",2032,"Canada","NMC 622",46.6332599967428
"Vans",2032,"Mexico","NMC 532",0.171743319212566
"Vans",2032,"Mexico","LFP",38.6020292911187
"Vans",2032,"Mexico","NMC 811",10.9469436304591
"Vans",2032,"Mexico","NMC 622",22.0994438756579
"Vans",2032,"USA","NMC 532",0.27920506967799
"Vans",2032,"USA","LFP",41.0651650681279
"Vans",2032,"USA","NMC 811",17.7965709124349
"Vans",2032,"USA","NMC 622",35.9273175541167
"Cars",2033,"Canada","NMC 532",0.249725723921526
"Cars",2033,"Canada","LFP",4.94564486526333
"Cars",2033,"Canada","NMC 721",1.86162797718553
"Cars",2033,"Canada","NMC 811",16.5060448899908
"Cars",2033,"Canada","NCA",21.2466862082946
"Cars",2033,"Canada","NMC 622",34.077534885549
"Cars",2033,"Mexico","NMC 532",1.2111428751598
"Cars",2033,"Mexico","LFP",24.4974552660907
"Cars",2033,"Mexico","NMC 811",8.92552282526166
"Cars",2033,"Mexico","NCA",11.594677523333
"Cars",2033,"Mexico","NMC 622",19.3039960503848
"Cars",2033,"USA","NMC 532",0.168542361143975
"Cars",2033,"USA","LFP",8.4315204196594
"Cars",2033,"USA","NMC 721",0.826863786502692
"Cars",2033,"USA","NMC 811",11.436967084749
"Cars",2033,"USA","NCA",38.0344963590841
"Cars",2033,"USA","NMC 622",23.9300466919185
"Vans",2033,"Canada","NMC 532",0.362405085965303
"Vans",2033,"Canada","LFP",33.4059624256837
"Vans",2033,"Canada","NMC 811",23.099751801953
"Vans",2033,"Canada","NMC 622",46.6332599967428
"Vans",2033,"Mexico","NMC 532",0.171743319212566
"Vans",2033,"Mexico","LFP",38.6020292911187
"Vans",2033,"Mexico","NMC 811",10.9469436304591
"Vans",2033,"Mexico","NMC 622",22.0994438756579
"Vans",2033,"USA","NMC 532",0.27920506967799
"Vans",2033,"USA","LFP",41.0651650681279
"Vans",2033,"USA","NMC 811",17.7965709124349
"Vans",2033,"USA","NMC 622",35.9273175541167
"Cars",2034,"Canada","NMC 532",0.249725723921526
"Cars",2034,"Canada","LFP",4.94564486526333
"Cars",2034,"Canada","NMC 721",1.86162797718553
"Cars",2034,"Canada","NMC 811",16.5060448899908
"Cars",2034,"Canada","NCA",21.2466862082946
"Cars",2034,"Canada","NMC 622",34.077534885549
"Cars",2034,"Mexico","NMC 532",1.2111428751598
"Cars",2034,"Mexico","LFP",24.4974552660907
"Cars",2034,"Mexico","NMC 811",8.92552282526166
"Cars",2034,"Mexico","NCA",11.594677523333
"Cars",2034,"Mexico","NMC 622",19.3039960503848
"Cars",2034,"USA","NMC 532",0.168542361143975
"Cars",2034,"USA","LFP",8.4315204196594
"Cars",2034,"USA","NMC 721",0.826863786502692
"Cars",2034,"USA","NMC 811",11.436967084749
"Cars",2034,"USA","NCA",38.0344963590841
"Cars",2034,"USA","NMC 622",23.9300466919185
"Vans",2034,"Canada","NMC 532",0.362405085965303
