"Scenario","Vehicle","Country","Year","Sales","EV_Stock","LIB_reuse_EV","LIB_recycling","LIB_Available","add_LIB","add_LIB_vector","LIB_Available_vector","LIB_recycling_vector","EV_Stock_vector"
"Momentum","Medium trucks","Mexico",2029,972,3698,0,6,3,6,"1|1|1|2|2|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0","0|0|0|1|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0","1|1|1|2|2|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0","972|846|725|615|511|30|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0"
"Momentum","Medium trucks","Mexico",2030,1105,4792,0,11,4,11,"1|1|1|2|2|3|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0","0|0|1|1|1|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0","1|1|1|2|2|3|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0","1105|971|845|723|612|508|29|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0"
"Momentum","Medium trucks","Mexico",2031,1754,6529,0,18,7,17,"1|1|2|2|3|4|5|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0","0|0|1|1|1|1|2|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0","1|1|2|2|3|4|5|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0","1754|1104|969|842|720|608|503|29|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0"
"Momentum","Medium trucks","Mexico",2032,2454,8953,6,29,6,23,"2|2|2|2|3|4|6|2|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0","0|0|0|0|1|1|1|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0","2|2|2|2|3|4|6|7|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0","2453|1752|1102|967|839|716|602|495|28|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0"
"Momentum","Medium trucks","Mexico",2033,3202,12109,9,46,9,37,"2|2|3|3|4|5|7|9|3|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0","0|0|1|1|1|1|1|2|2|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0","2|2|3|3|4|5|7|9|11|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0","3201|2451|1749|1099|963|834|708|593|485|27|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0"
"Momentum","Medium trucks","Mexico",2034,4004,16040,15,73,15,58,"3|3|4|4|4|6|8|10|13|3|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0","1|1|1|1|1|1|2|2|3|3|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0","3|3|4|4|4|6|8|10|13|16|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0","4003|3198|2447|1744|1094|957|825|698|579|469|26|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0"
"Momentum","Medium trucks","Mexico",2035,4856,20803,23,112,24,90,"3|4|5|6|7|7|9|12|15|19|4|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0","1|1|1|1|1|1|2|2|3|4|5|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0","3|4|5|6|7|7|9|12|15|19|23|2|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0","4855|3999|3193|2441|1737|1088|947|813|691|570|447|23|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0"
"Momentum","Medium trucks","Mexico",2036,6093,26763,28,169,43,141,"4|5|6|8|9|10|10|14|17|22|26|10|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0","1|1|1|2|2|2|2|3|4|5|6|14|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0","4|5|6|8|9|10|10|14|18|23|28|32|2|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0","6091|4850|3992|3184|2431|1726|1077|933|805|681|557|415|21|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0"
"Momentum","Medium trucks","Mexico",2037,7407,33996,36,247,70,211,"5|6|8|10|12|15|16|16|19|25|31|35|14|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0","2|2|2|2|2|3|3|3|4|5|7|16|18|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0","5|6|8|10|12|15|16|16|21|27|32|37|40|3|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0","7405|6085|4842|3982|3172|2415|1720|1070|924|794|667|538|365|17|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0"
"Momentum","Medium trucks","Mexico",2038,8793,42574,48,348,109,300,"6|7|10|12|15|19|23|25|20|28|35|41|44|16|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0","4|3|3|3|3|4|5|5|5|6|8|19|20|21|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0","6|8|10|12|15|19|23|25|24|30|38|44|47|46|3|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0","8791|7397|6075|4829|3966|3164|2406|1709|1061|911|777|645|511|318|13|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0"
