"Vehicle","Country","Year","Sales","EV_Stock","LIB_reuse_EV","LIB_recycling","LIB_Available","add_LIB","add_LIB_vector","LIB_Available_vector","LIB_recycling_vector","EV_Stock_vector"
"Buses","Canada",2015,0,0,0,0,0,0,"0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0","0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0","0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0","0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0"
"Buses","Canada",2016,5,0,0,0,0,0,"0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0","0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0","0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0","0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0"
"Buses","Canada",2017,11,11,0,0,0,0,"0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0","0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0","0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0","11|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0"
"Buses","Canada",2018,27,38,0,0,0,0,"0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0","0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0","0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0","27|11|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0"
"Buses","Canada",2019,115,153,0,0,0,0,"0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0","0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0","0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0","115|27|11|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0"
"Buses","Canada",2020,315,468,0,0,0,0,"0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0","0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0","0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0","315|115|27|11|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0"
"Buses","Canada",2021,269,736,0,1,0,1,"0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0","0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0","0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0","269|315|115|27|11|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0"
"Buses","Canada",2022,678,1412,0,2,1,2,"0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0","0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0","0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0","678|269|314|114|27|11|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0"
"Buses","Canada",2023,1193,2602,0,3,1,3,"1|1|0|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0","0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0","1|1|0|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0","1193|677|268|313|114|27|11|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0"
"Buses","Canada",2024,740,3337,0,6,2,6,"0|1|1|1|1|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0","0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0","0|1|1|1|1|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0","740|1191|676|268|312|113|26|11|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0"
"Buses","Canada",2025,1083,4410,1,10,3,9,"1|1|2|2|1|2|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0","0|0|0|1|0|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0","1|1|2|2|1|2|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0","1083|739|1190|674|266|310|112|26|10|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0"
"Buses","Canada",2026,1264,5658,3,16,4,13,"1|1|1|3|3|2|3|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0","0|0|0|1|1|0|1|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0","1|1|1|3|3|2|3|2|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0","1264|1082|738|1186|672|265|307|110|25|10|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0"
"Buses","Canada",2027,1474,7097,5,25,5,20,"1|1|2|2|5|4|2|3|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0","0|0|0|0|1|1|1|1|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0","1|1|2|2|5|4|2|4|2|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0","1474|1262|1080|736|1182|667|262|302|108|24|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0"
"Buses","Canada",2028,1717,8775,8,39,8,31,"1|1|2|3|3|7|6|4|4|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0","0|0|0|1|1|1|1|1|1|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0","1|1|2|3|3|7|6|4|7|4|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0","1717|1472|1260|1077|733|1174|661|258|296|104|23|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0"
"Buses","Canada",2029,2000,10713,12,60,13,48,"1|2|2|3|4|4|11|10|5|5|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0","0|0|0|1|1|1|2|2|1|2|1|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0","1|2|2|3|4|4|11|10|6|10|5|2|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0","1999|1715|1470|1257|1073|728|1163|651|252|286|98|21|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0"
"Buses","Canada",2030,2327,12955,17,91,21,74,"1|2|3|4|5|6|7|17|14|8|7|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0","0|0|1|1|1|1|1|3|3|2|3|3|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0","1|2|3|4|5|6|7|17|14|8|14|7|2|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0","2326|1997|1712|1466|1252|1066|721|1156|635|243|273|90|19|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0"
"Buses","Canada",2031,2514,15356,21,134,35,113,"2|2|3|4|6|8|10|10|25|21|11|11|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0","1|1|1|1|1|2|2|2|5|4|3|8|4|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0","2|2|3|4|6|8|10|10|25|21|12|19|9|2|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0","2513|2324|1994|1708|1460|1244|1055|710|1145|626|229|253|79|16|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0"
"Buses","Canada",2032,2990,18218,30,192,53,162,"2|3|4|5|7|9|12|15|14|37|29|15|11|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0","1|1|1|1|1|2|2|3|3|8|6|7|11|5|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0","2|3|4|5|7|9|12|15|16|37|30|16|25|10|2|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0","2989|2511|2320|1989|1701|1451|1232|1049|703|1129|612|221|233|66|12|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0"
"Buses","Canada",2033,3487,21511,37,263,81,226,"2|3|4|6|8|10|14|18|21|21|52|40|19|9|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0","2|2|1|1|2|2|3|4|5|5|11|17|9|13|5|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0","2|3|4|6|8|10|14|18|23|23|53|41|20|28|10|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0","3486|2986|2507|2314|1981|1690|1436|1224|1030|694|1105|591|210|205|51|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0"
