"Scenario","Vehicle","Country","Year","Sales","EV_Stock","LIB_reuse_EV","LIB_recycling","LIB_Available","add_LIB","add_LIB_vector","LIB_Available_vector","LIB_recycling_vector","EV_Stock_vector"
"Baseline","Medium trucks","Canada",2040,8186,77941,310,2017,945,1413,"5|8|11|17|24|35|50|72|54|99|152|207|253|277|149|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0","46|39|30|24|19|17|18|21|24|31|42|107|124|136|135|121|6|2|4|0|0|0|0|0|0|0|0|0|0|0","6|9|13|18|26|36|52|73|102|138|185|235|275|297|286|244|11|4|6|0|0|0|0|0|0|0|0|0|0|0","8184|7685|7187|6712|6240|5790|5363|4966|4574|4194|3822|3460|3081|2703|2304|1633|27|8|10|0|0|0|0|0|0|0|0|0|0|0"
"Baseline","Medium trucks","Canada",2041,8682,84508,409,2333,1184,1432,"6|8|12|18|26|38|54|77|62|89|147|208|260|287|140|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0","46|59|49|38|31|25|24|26|30|36|46|117|136|146|144|127|99|4|0|2|0|0|0|0|0|0|0|0|0|0","6|10|14|20|28|40|56|79|110|150|198|252|295|315|303|256|190|8|0|3|0|0|0|0|0|0|0|0|0|0","8680|8175|7672|7180|6701|6224|5767|5331|4920|4509|4104|3700|3298|2875|2442|1753|1157|15|0|5|0|0|0|0|0|0|0|0|0|0"
"Baseline","Medium trucks","Canada",2042,9181,91086,515,2620,1412,1457,"6|9|13|19|28|40|58|83|70|101|141|206|265|296|123|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0","46|58|70|58|47|39|33|33|36|43|51|127|147|158|154|135|104|70|3|0|0|0|0|0|0|0|0|0|0|0","7|10|15|21|31|43|61|86|119|163|214|270|316|338|322|271|199|128|5|0|0|0|0|0|0|0|0|0|0|0","9179|8671|8162|7665|7168|6685|6200|5733|5282|4850|4413|3963|3526|3077|2607|1857|1263|777|7|0|0|0|0|0|0|0|0|0|0|0"
"Baseline","Medium trucks","Canada",2043,9685,97735,619,2880,1623,1496,"6|9|14|20|30|43|62|89|79|113|157|206|267|303|97|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0","45|58|69|79|66|55|48|44|45|50|60|141|159|170|166|143|110|72|43|0|0|0|0|0|0|0|0|0|0|0","7|11|16|23|33|47|67|94|130|176|233|292|339|362|345|288|210|132|76|0|0|0|0|0|0|0|0|0|0|0","9683|9169|8657|8154|7653|7151|6659|6163|5680|5207|4746|4271|3778|3291|2791|1982|1337|868|497|0|0|0|0|0|0|0|0|0|0|0"
"Baseline","Medium trucks","Canada",2044,10155,104461,714,3133,1822,1556,"6|10|14|21|31|46|67|95|89|126|173|228|274|311|63|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0","45|58|70|78|85|73|64|58|56|59|68|160|174|183|178|154|115|77|45|24|0|0|0|0|0|0|0|0|0|0","7|11|16|24|36|51|73|102|141|191|251|317|366|388|369|308|221|140|79|41|0|0|0|0|0|0|0|0|0|0","10152|9672|9154|8648|8141|7634|7123|6619|6107|5600|5095|4594|4071|3525|2984|2120|1427|918|573|303|0|0|0|0|0|0|0|0|0|0"
"Baseline","Medium trucks","Canada",2045,10629,111259,799,3382,2001,1636,"7|10|15|23|33|49|71|102|100|140|192|250|301|323|21|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0","44|57|69|79|85|91|81|74|71|70|78|176|193|196|187|160|123|81|48|25|12|0|0|0|0|0|0|0|0|0","8|12|17|26|38|55|79|111|153|207|272|342|397|417|392|325|236|149|84|42|20|0|0|0|0|0|0|0|0|0","10626|10142|9657|9145|8634|8121|7605|7081|6558|6020|5479|4932|4379|3790|3197|2266|1524|978|605|357|163|0|0|0|0|0|0|0|0|0"
"Baseline","Medium trucks","Canada",2046,11081,118194,876,3651,2185,1738,"7|11|16|24|35|52|76|109|110|155|211|274|329|329|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0","44|57|69|79|86|91|97|91|86|86|89|197|210|213|201|174|131|87|51|26|13|6|0|0|0|0|0|0|0|0","8|12|18|27|40|58|85|120|166|225|295|370|427|450|422|351|253|160|89|45|21|9|0|0|0|0|0|0|0|0","11078|10615|10135|9647|9131|8613|8090|7559|7016|6465|5891|5304|4701|4086|3437|2425|1627|1043|643|381|215|91|0|0|0|0|0|0|0|0"
"Baseline","Medium trucks","Canada",2047,11499,125183,945,3936,2376,1857,"7|11|17|25|37|55|80|116|119|169|231|300|359|330|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0","45|58|70|80|87|92|98|107|103|101|104|220|229|236|220|188|141|93|54|28|13|6|3|0|0|0|0|0|0|0","8|13|19|28|42|62|90|129|180|244|320|401|461|487|457|377|271|171|95|48|22|10|4|0|0|0|0|0|0|0","11496|11067|10608|10125|9632|9108|8580|8042|7490|6916|6317|5702|5056|4387|3698|2607|1739|1111|684|410|230|128|51|0|0|0|0|0|0|0"
"Baseline","Medium trucks","Canada",2048,11908,132208,1007,4231,2564,1994,"8|12|17|26|39|58|85|123|127|182|251|326|391|349|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0","48|60|71|81|88|93|100|108|119|119|120|249|251|256|237|202|151|100|58|30|14|6|3|0|0|0|0|0|0|0","9|13|20|30|44|65|94|136|193|264|346|434|498|525|491|406|291|183|102|51|23|10|4|0|0|0|0|0|0|0","11905|11484|11060|10598|10109|9608|9073|8529|7967|7383|6768|6114|5435|4717|3970|2804|1869|1184|726|434|241|134|70|24|0|0|0|0|0|0"
"Baseline","Medium trucks","Canada",2049,12294,139248,1063,4544,2762,2145,"8|12|18|27|41|61|90|130|134|194|269|352|423|386|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0","51|63|74|84|91|96|102|111|122|133|136|281|276|279|258|217|163|107|62|32|15|7|3|0|0|0|0|0|0|0","9|14|21|31|46|68|99|144|204|283|374|469|537|566|530|436|313|197|109|55|25|11|5|0|0|0|0|0|0|0","12291|11893|11477|11049|10581|10085|9571|9019|8450|7855|7225|6551|5828|5072|4279|3008|2008|1271|772|459|259|139|72|36|0|0|0|0|0|0"
